N_out,P_low,P_upp
252,0.6700542324652877,0.8163933791140113
253,0.6689790186233728,0.8155071896673884
254,0.6679043078756735,0.8146204959219105
255,0.6668300982810618,0.8137332998298541
256,0.6657563879186765,0.8128456033231066
257,0.6646831748876625,0.8119574083134313
258,0.6636104573069133,0.8110687166927233
259,0.6625382333148204,0.8101795303332642
260,0.6614665010690254,0.8092898510879717
261,0.6603952587461764,0.8083996807906432
262,0.65932450454169,0.8075090212561978
263,0.658254236669515,0.8066178742809123
264,0.6571844533619023,0.8057262416426533
265,0.6561151528691778,0.8048341251011071
266,0.6550463334595185,0.8039415263980033
267,0.653977993418734,0.8030484472573364
268,0.65291013105005,0.8021548893855828
269,0.651842744673897,0.8012608544719145
270,0.6507758326277006,0.8003663441884091
271,0.6497093932656767,0.7994713601902564
272,0.648643424958631,0.7985759041159616
273,0.6475779260937582,0.7976799775875452
274,0.6465128950744492,0.7967835822107388
275,0.6454483303200982,0.7958867195751794
276,0.6443842302659131,0.7949893912545991
277,0.6433205933627311,0.7940915988070111
278,0.6422574180768357,0.7931933437748957
279,0.641194702889776,0.7922946276853797
280,0.6401324462981914,0.7913954520504145
281,0.6390706468136362,0.7904958183669523
282,0.6380093029624092,0.7895957281171175
283,0.6369484132853853,0.7886951827683768
284,0.6358879763378493,0.7877941837737064
285,0.6348279906893326,0.7868927325717548
286,0.6337684549234539,0.7859908305870069
287,0.6327093676377592,0.7850884792299408
288,0.6316507274435685,0.7841856798971854
289,0.6305925329658211,0.7832824339716745
290,0.6295347828429252,0.7823787428227988
291,0.6284774757266103,0.7814746078065541
292,0.627420610281781,0.7805700302656897
293,0.6263641851863724,0.7796650115298523
294,0.6253081991312094,0.7787595529157285
295,0.6242526508198676,0.7778536557271857
296,0.6231975389685351,0.7769473212554092
297,0.6221428623058789,0.7760405507790387
298,0.6210886195729107,0.775133345564303
299,0.6200348095228558,0.7742257068651506
300,0.6189814309210255,0.7733176359233798
301,0.6179284825446891,0.7724091339687674
302,0.6168759631829488,0.7715002022191937
303,0.6158238716366167,0.770590841880767
304,0.6147722067180936,0.7696810541479454
305,0.6137209672512498,0.7687708402036579
306,0.6126701520713064,0.767860201219422
307,0.6116197600247204,0.7669491383554605
308,0.6105697899690699,0.7660376527608174
309,0.6095202407729419,0.7651257455734701
310,0.6084711113158217,0.7642134179204417
311,0.6074224004879824,0.7633006709179104
312,0.6063741071903794,0.7623875056713187
313,0.6053262303345426,0.7614739232754785
314,0.6042787688424731,0.7605599248146779
315,0.6032317216465397,0.7596455113627842
316,0.6021850876893786,0.7587306839833452
317,0.6011388659237912,0.7578154437296912
318,0.6000930553126484,0.7568997916450328
319,0.5990476548287919,0.7559837287625594
320,0.5980026634549391,0.7550672561055352
321,0.5969580801835892,0.7541503746873934
322,0.5959139040169297,0.753233085511831
323,0.5948701339667453,0.7523153895728996
324,0.5938267690543282,0.7513972878550974
325,0.5927838083103882,0.750478781333457
326,0.5917412507749659,0.7495598709736355
327,0.5906990954973463,0.7486405577319999
328,0.5896573415359736,0.7477208425557142
329,0.5886159879583668,0.7468007263828222
330,0.5875750338410375,0.7458802101423321
331,0.5865344782694095,0.744959294754298
332,0.5854943203377357,0.7440379811299009
333,0.5844545591490224,0.7431162701715281
334,0.5834151938149477,0.7421941627728528
335,0.5823762234557874,0.7412716598189097
336,0.5813376472003372,0.7403487621861742
337,0.5802994641858389,0.7394254707426349
338,0.5792616735579066,0.7385017863478697
339,0.5782242744704533,0.7375777098531182
340,0.5771872660856203,0.7366532421013546
341,0.5761506475737054,0.7357283839273574
342,0.5751144181130938,0.7348031361577817
343,0.5740785768901894,0.7338774996112265
344,0.5730431230993468,0.7329514750983039
345,0.5720080559428045,0.7320250634217065
346,0.5709733746306195,0.731098265376273
347,0.569939078380602,0.7301710817490537
348,0.5689051664182507,0.729243513319376
349,0.5678716379766908,0.7283155608589069
350,0.5668384922966112,0.7273872251317164
351,0.565805728626203,0.7264585068943388
352,0.5647733462210993,0.7255294068958336
353,0.5637413443443147,0.7245999258778466
354,0.5627097222661869,0.7236700645746684
355,0.5616784792643194,0.7227398237132929
356,0.5606476146235226,0.7218092040134751
357,0.5596171276357589,0.7208782061877882
358,0.5585870176000853,0.7199468309416794
359,0.5575572838226013,0.7190150789735257
360,0.5565279256163906,0.7180829509746869
361,0.5554989423014718,0.7171504476295616
362,0.5544703332047431,0.7162175696156391
363,0.5534420976599315,0.7152843176035516
364,0.5524142350075409,0.714350692257126
365,0.5513867445948019,0.7134166942334343
366,0.5503596257756227,0.7124823241828455
367,0.5493328779105382,0.7115475827490726
368,0.5483065003666638,0.7106124705692234
369,0.5472804925176451,0.7096769882738478
370,0.546254853743613,0.7087411364869852
371,0.5452295834311363,0.7078049158262115
372,0.5442046809731751,0.7068683269026848
373,0.5431801457690373,0.7059313703211927
374,0.5421559772243325,0.704994046680194
375,0.5411321747509288,0.7040563565718664
376,0.5401087377669098,0.7031183005821473
377,0.5390856656965306,0.7021798792907794
378,0.5380629579701772,0.7012410932713505
379,0.5370406140243236,0.7003019430913382
380,0.5360186333014912,0.6993624293121483
381,0.5349970152502099,0.6984225524891579
382,0.5339757593249752,0.697482313171754
383,0.5329548649862117,0.6965417119033743
384,0.5319343317002335,0.6956007492215448
385,0.5309141589392047,0.6946594256579199
386,0.5298943461811041,0.6937177417383185
387,0.5288748929096859,0.6927756979827633
388,0.527855798614445,0.6918332949055161
389,0.5268370627905787,0.6908905330151155
390,0.5258186849389535,0.6899474128144117
391,0.5248006645660678,0.6890039348006024
392,0.5237830011840195,0.6880600994652672
393,0.5227656943104704,0.6871159072944026
394,0.5217487434686123,0.6861713587684553
395,0.5207321481871356,0.685226454362356
396,0.5197159080001952,0.6842811945455514
397,0.5187000224473788,0.6833355797820381
398,0.5176844910736749,0.6823896105303935
399,0.5166693134294426,0.6814432872438072
400,0.5156544890703789,0.6804966103701128
401,0.5146400175574903,0.6795495803518183
402,0.5136258984570621,0.6786021976261352
403,0.5126121313406282,0.6776544626250096
404,0.5115987157849433,0.6767063757751512
405,0.5105856513719531,0.6757579374980613
406,0.5095729376887675,0.674809148210062
407,0.5085605743276318,0.673860008322324
408,0.5075485608858994,0.6729105182408941
409,0.5065368969660051,0.6719606783667227
410,0.5055255821754387,0.6710104890956894
411,0.5045146161267189,0.6700599508186316
412,0.5035039984373668,0.6691090639213677
413,0.5024937287298812,0.6681578287847254
414,0.5014838066317142,0.667206245784564
415,0.5004742317752452,0.6662543152918022
416,0.4994650037977578,0.6653020376724401
417,0.4984561223414159,0.6643494132875843
418,0.49744758705323966,0.6633964424934716
419,0.4964393975850827,0.662443125641492
420,0.4954315535936099,0.6614894630782118
421,0.4944240547402743,0.6605354551453955
422,0.4934169006912954,0.6595811021800289
423,0.4924100911176379,0.6586264045143406
424,0.49140362569498963,0.6576713624758235
425,0.4903975041037417,0.6567159763872554
426,0.48939172602896686,0.6557602465667203
427,0.48838629116039944,0.6548041733276293
428,0.4873811991924164,0.6538477569787395
429,0.4863764498240164,0.6528909978241748
430,0.4853720427588014,0.6519338961634449
431,0.4843679777049579,0.650976452291464
432,0.4833642543752379,0.6500186664985705
433,0.48236087248694015,0.6490605390705448
434,0.4813578317618936,0.6481020702886273
435,0.48035513192643875,0.6471432604295368
436,0.47935277271141075,0.646184109765487
437,0.4783507538521221,0.6452246185642048
438,0.47734907508834623,0.6442647870889462
439,0.47634773616430093,0.6433046155985142
440,0.47534673682863315,0.6423441043472724
441,0.47434607683440166,0.6413832535851646
442,0.4733457559390628,0.6404220635577262
443,0.47234577390445476,0.639460534506104
444,0.47134613049678387,0.6384986666670677
445,0.47034682548660756,0.6375364602730258
446,0.4693478586488231,0.636573915552041
447,0.4683492297626519,0.6356110327278426
448,0.467350938611625,0.634647812019842
449,0.46635298498357225,0.6336842536431448
450,0.4653553686706067,0.632720357808566
451,0.4643580894691127,0.6317561247226402
452,0.4633611471797341,0.630791554587637
453,0.46236454160736074,0.6298266476015723
454,0.4613682725611171,0.6288614039582203
455,0.46037233985435067,0.6278958238471255
456,0.45937674330461964,0.6269299074536152
457,0.4583814827336832,0.6259636549588087
458,0.4573865579674887,0.6249970665396313
459,0.45639196883616306,0.6240301423688223
460,0.4553977151740005,0.623062882614947
461,0.45440379681945453,0.6220952874424077
462,0.4534102136151257,0.621127357011452
463,0.4524169654077539,0.6201590914781827
464,0.4514240520482078,0.6191904909945691
465,0.45043147339147704,0.6182215557084536
466,0.44943922929666225,0.6172522857635638
467,0.44844731962696716,0.6162826812995172
468,0.4474557442496898,0.6153127424518341
469,0.4464645030362153,0.6143424693519419
470,0.4454735958620073,0.6133718621271855
471,0.4444830226066008,0.6124009209008335
472,0.4434927831535942,0.6114296457920874
473,0.44250287739064387,0.6104580369160864
474,0.441513305209456,0.609486094383916
475,0.4405240665057797,0.608513818302615
476,0.43953516117940283,0.60754120877518
477,0.43854658913414335,0.6065682659005736
478,0.4375583502778453,0.6055949897737289
479,0.43657044452237237,0.6046213804855562
480,0.4355828717836041,0.6036474381229482
481,0.43459563198142814,0.602673162768784
482,0.433608725039738,0.6016985545019365
483,0.43262215088642697,0.6007236133972743
484,0.4316359094533847,0.5997483395256683
485,0.4306500006764924,0.5987727329539956
486,0.42966442449561904,0.5977967937451416
487,0.42867918085461887,0.5968205219580069
488,0.42769426970132574,0.5958439176475081
489,0.4267096909875533,0.5948669808645821
490,0.42572544466908857,0.5938897116561896
491,0.42474153070569187,0.5929121100653169
492,0.423757949061093,0.5919341761309795
493,0.42277469970298975,0.5909559098882233
494,0.4217917826030946,0.5899773113681275
495,0.42080919773689873,0.5889983805977747
496,0.4198269450841101,0.5880191176004047
497,0.418845024628258,0.5870395223951281
498,0.41786343635684864,0.5860595949971878
499,0.41688218026135293,0.5850793354178556
500,0.41590125633720176,0.5840987436644398
501,0.41492066458378507,0.5831178197402893
502,0.4139404050044523,0.5821365636447942
503,0.4129604776065112,0.5811549753733856
504,0.41198088240123376,0.5801730549175343
505,0.41100161940386315,0.5791908022647461
506,0.4100226886335092,0.5782082173985512
507,0.4090440901134129,0.5772253002986566
508,0.4080658238706558,0.5762420509405541
509,0.4070878899363175,0.5752584692959561
510,0.40611028834544416,0.5742745553325599
511,0.4051330191370506,0.5732903090140961
512,0.40415608235412415,0.5723057303003238
513,0.4031794780436242,0.5713208191470318
514,0.40220320625648853,0.5703355755060321
515,0.401227267047634,0.5693499993251597
516,0.4002516604759603,0.5683640905482679
517,0.3992763866043536,0.5673778491152262
518,0.3983014454996907,0.5663912749619159
519,0.3973268372328421,0.5654043680202263
520,0.3963525618786772,0.564417128218051
521,0.3953786195160681,0.5634295554792832
522,0.39440501022789454,0.5624416497238112
523,0.39343173410104904,0.5614534108675138
524,0.3924587912264419,0.5604648388222546
525,0.39148618169900595,0.5594759334958781
